latitude_x,longitude_x,tick,Company,distance,longitude_y,latitude_y,TROBA,CODIGO
-76.9905493249,-12.0989223479,INC000001847436,TELEFONICA DEL PERU,92.10695618601419,-77.161964,-11.794752,ANG001,ANG0010101
-8405.0,-17485.0,INC000001849477,TELEFONICA DEL PERU,19325.597588032637,-77.161916,-11.79469,ANG001,ANG0010102
-8405.0,-17485.0,INC000001851778,TELEFONICA DEL PERU,19325.597726653705,-77.161738,-11.79474,ANG001,ANG0010103
-84.05,-174.85,INC000001583528,TELEFONICA DEL PERU,121.50655233810812,-77.161681,-11.794657,ANG001,ANG0010104
-84.05,-174.85,INC000001764686,TELEFONICA DEL PERU,121.50663606549611,-77.161531,-11.794719,ANG001,ANG0010105
-84.05,-174.85,INC000001820422,TELEFONICA DEL PERU,121.5067346742547,-77.161469,-11.794637,ANG001,ANG0010106
-84.05,-174.85,INC000001823791,TELEFONICA DEL PERU,121.50684590343813,-77.16127,-11.794719,ANG001,ANG0010107
-84.05,-174.85,INC000001827554,TELEFONICA DEL PERU,121.50695343206556,-77.161208,-11.794622,ANG001,ANG0010108
-84.05,-174.85,INC000001835323,TELEFONICA DEL PERU,121.50701893461918,-77.161057,-11.794716,ANG001,ANG0010209
-84.05,-174.85,INC000001843288,TELEFONICA DEL PERU,121.50713964559893,-77.160986,-11.794609,ANG001,ANG0010210
-84.05,-174.85,INC000001844984,TELEFONICA DEL PERU,121.50722555700403,-77.1608,-11.794716,ANG001,ANG0010211
-84.05,-174.85,INC000001845316,TELEFONICA DEL PERU,121.50736242361297,-77.16072,-11.794594,ANG001,ANG0010212
-84.05,-174.85,INC000001845622,TELEFONICA DEL PERU,121.5074203053831,-77.160577,-11.79469,ANG001,ANG0010213
-84.05,-174.85,INC000001846425,TELEFONICA DEL PERU,121.50752265797409,-77.160517,-11.794599,ANG001,ANG0010214
-84.05,-174.85,INC000001846513,TELEFONICA DEL PERU,121.50766744580001,-77.160277,-11.79468,ANG001,ANG0010215
-84.05,-174.85,INC000001847385,TELEFONICA DEL PERU,121.5077712302873,-77.160213,-11.794592,ANG001,ANG0010216
-84.05,-174.85,INC000001847678,TELEFONICA DEL PERU,121.42412436202412,-77.01162699,-12.13706136,BAG001,BAG0010101
-84.05,-174.85,INC000001849080,TELEFONICA DEL PERU,121.424192334124,-77.01147859,-12.13714849,BAG001,BAG0010102
-84.05,-174.85,INC000001849284,TELEFONICA DEL PERU,121.42436648978199,-77.01108915,-12.13738427,BAG001,BAG0010103
-84.05,-174.85,INC000001849397,TELEFONICA DEL PERU,121.42450906853863,-77.01088968,-12.13741491,BAG001,BAG0010104
-84.05,-174.85,INC000001849494,TELEFONICA DEL PERU,121.42405511910007,-77.01110987,-12.13788183,BAG001,BAG0010105
-84.05,-174.85,INC000001849625,TELEFONICA DEL PERU,121.42355883070381,-77.01138681,-12.13834303,BAG001,BAG0010206
-84.05,-174.85,INC000001849829,TELEFONICA DEL PERU,121.42281312888531,-77.01167365,-12.1392119,BAG001,BAG0010207
-84.05,-174.85,INC000001849960,TELEFONICA DEL PERU,121.42208402115037,-77.01200227,-12.13999591,BAG001,BAG0010208
-84.05,-174.85,INC000001850822,TELEFONICA DEL PERU,121.42180910344068,-77.01246934,-12.13982464,BAG001,BAG0010209
-84.05,-174.85,INC000001851063,TELEFONICA DEL PERU,121.42341541549686,-77.01188196,-12.13791152,BAG001,BAG0010210
-84.05,-174.85,INC000001851323,TELEFONICA DEL PERU,121.42334777910706,-77.01203253,-12.13782087,BAG001,BAG0010211
-84.05,-174.85,INC000001851503,TELEFONICA DEL PERU,121.42294739264776,-77.01227826,-12.1381626,BAG001,BAG0010212
-84.05,-174.85,INC000001851623,TELEFONICA DEL PERU,121.42256856744652,-77.01250661,-12.13849157,BAG001,BAG0010213
-84.05,-174.85,INC000001851680,TELEFONICA DEL PERU,121.42213536846063,-77.01279712,-12.13882778,BAG001,BAG0010314
