longitude_x,latitude_x,TROBA,CODIGO,tick,Company,latitude_y,longitude_y
-1.346729491347293,-0.20585617475204998,ANG001,ANG0010102,INC000001849477,TELEFONICA DEL PERU,-146.6949236301234,-305.17081971120854
-1.344303618950038,-0.21199634010087245,BAG802,BAG8021136,INC000001850377,TELEFONICA DEL PERU,-1345762.7534746132,-210448.99122538054
-1.3441218772914287,-0.21184568066184642,BAG803,BAG8030512,INC000001845748,TELEFONICA DEL PERU,-1345351.3793699183,-209403.7833495312
-1.3441371408938694,-0.21184781013806678,BAG803,BAG8030522,INC000001807685,TELEFONICA DEL PERU,-1344965.9932177854,-208854.80748660892
-1.3442022203819517,-0.21185757403350122,BAG803,BAG8030542,INC000001836128,TELEFONICA DEL PERU,-134448.76857362763,-20779.20939583621
-1.3442095640293126,-0.21185650205227466,BAG803,BAG8030557,INC000001839369,TELEFONICA DEL PERU,-1344319.7152490644,-207949.59247006205
-1.3442074973849452,-0.21184873847869592,BAG803,BAG8030612,INC000001836837,TELEFONICA DEL PERU,-1344045.6461966236,-212545.30618995093
-1.3435566667248704,-0.2126973706190248,CVG362,CVG3620315,INC000001817805,TELEFONICA DEL PERU,-13437452.38380441,-2083937.8574601163
-1.3435637182041145,-0.21270932228467662,CVG362,CVG3620628,INC000001830633,TELEFONICA DEL PERU,-134352555.7103618,-21300140.365859665
-1.3435537494070258,-0.21286084793061041,CVG363,CVG3630315,INC000001848595,TELEFONICA DEL PERU,-134311.13190881535,-212799.89736793935
-1.343559276341168,-0.21285547196744842,CVG363,CVG3630417,INC000001840032,TELEFONICA DEL PERU,-1343029.6202258677,-213302.39511288103
-1.343564519135708,-0.212844025749148,CVG363,CVG3630521,INC000001828975,TELEFONICA DEL PERU,-1342939.264530492,-211968.19561948648
-1.3436485204363429,-0.21278446830828587,CVG364,CVG3640105,INC000001840895,TELEFONICA DEL PERU,-1342881.2148795705,-213462.23236577868
-1.3436329196362913,-0.2127893597680475,CVG364,CVG3640209,INC000001842632,TELEFONICA DEL PERU,-1342804.088779925,-210025.85360152705
-1.3436365446851477,-0.21278156704747028,CVG364,CVG3640421,INC000001848473,TELEFONICA DEL PERU,-134226896.4897144,-21318748.839451626
-1.3436869859222607,-0.21278341098782502,CVG365,CVG3650103,INC000001842402,TELEFONICA DEL PERU,-1341153.3912799738,-214815.054522292
-1.3436795972454054,-0.21280511031734922,CVG365,CVG3650213,INC000001834959,TELEFONICA DEL PERU,-133884351.24176086,-20841603.7646777
