latitude,longitude,tick,Company,radius,TROBA,CODIGO
-76.9905493249,-12.0989223479,INC000001847436,TELEFONICA DEL PERU,8118961.310648069,ANG001,ANG0010101
-84.05,-174.85,INC000001583528,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010104
-84.05,-174.85,INC000001764686,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010105
-84.05,-174.85,INC000001820422,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010106
-84.05,-174.85,INC000001823791,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010107
-84.05,-174.85,INC000001827554,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010108
-84.05,-174.85,INC000001835323,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010209
-84.05,-174.85,INC000001843288,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010210
-84.05,-174.85,INC000001844984,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010211
-84.05,-174.85,INC000001845316,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010212
-84.05,-174.85,INC000001845622,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010213
-84.05,-174.85,INC000001846425,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010214
-84.05,-174.85,INC000001846513,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010215
-84.05,-174.85,INC000001847385,TELEFONICA DEL PERU,8793536.691534866,ANG001,ANG0010216
-84.05,-174.85,INC000001847678,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010101
-84.05,-174.85,INC000001849080,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010102
-84.05,-174.85,INC000001849284,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010103
-84.05,-174.85,INC000001849397,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010104
-84.05,-174.85,INC000001849494,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010105
-84.05,-174.85,INC000001849625,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010206
-84.05,-174.85,INC000001849829,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010207
-84.05,-174.85,INC000001849960,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010208
-84.05,-174.85,INC000001850822,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010209
-84.05,-174.85,INC000001851063,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010210
-84.05,-174.85,INC000001851323,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010211
-84.05,-174.85,INC000001851503,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010212
-84.05,-174.85,INC000001851623,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010213
-84.05,-174.85,INC000001851680,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010314
-84.05,-174.85,INC000001851933,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010315
-84.05,-174.85,INC000001852012,TELEFONICA DEL PERU,8793536.691534866,BAG001,BAG0010316
